Protocol,Network Lifetime,Packets Delivered,Energy Efficiency,Total Energy Consumed
LEACH,0,74,3.52375967504074,20.999297075919188
DirectedDiffusion,0,74,75.23917982895789,0.9825301257699124
GEAR,0,26,32.45662098107121,0.8000692183626654
PEGASIS,0,13,1.1409791295151237,11.392722868116394
